Item,BadAvgCost,ProposedCost,Note
SOC91795-000,1599.0000,1599.0000,use last receipt cost
SOC85074-006,1593.3800,1593.3800,use last receipt cost
SOC77219-000,1590.3000,1580.3000,use last receipt cost
288P1,1590.0314,1843.4942,use last receipt cost
10202828,1581.8300,1581.8300,use last receipt cost
D25980,1576.4900,1576.4900,use last receipt cost
SOC46765-013,1575.0000,1575.0000,use last receipt cost
MNC86257-000,1572.7100,1572.7100,use last receipt cost
F48X42DWREDWYE,1572.6600,10000460.0000,use last receipt cost
DW079LG,1571.7900,1571.7900,use last receipt cost
2874-22HD,1568.5000,1999.9900,use last receipt cost
17122987,1566.8000,1566.8000,use last receipt cost
17122995,1566.8000,1566.8000,use last receipt cost
SOC86220-001,1560.0000,1560.0000,use last receipt cost
SO326053-001,1559.8600,1559.8600,use last receipt cost
10202653,1544.9000,1544.9000,use last receipt cost
17120072,1543.8400,1543.8400,use last receipt cost
SOC46765-015,1543.5000,1543.5000,use last receipt cost
F42X36DWREDWYE,1533.3000,10000449.0000,use last receipt cost
42X36DWREDWYEBE,1533.3000,10000515.0000,use last receipt cost
6624T,1530.6944,1530.6944,use last receipt cost
6622T,1525.0000,1525.0000,use last receipt cost
2932-22XC,1513.5000,1799.9900,use last receipt cost
F480WCROSST,1505.1400,10000098.0000,use last receipt cost
2612TG,1500.0000,876.0000,use last receipt cost
SOC29945-004,1500.0000,1500.0000,use last receipt cost
1L6068DBLBRH,1500.0000,1500.0000,use last receipt cost
2473-20,1499.5000,1779.9700,use last receipt cost
1/1/4206 12:00:0,1499.0000,1499.0000,use last receipt cost
17106022,1498.5100,1498.5100,use last receipt cost
17123795,1498.5100,1498.5100,use last receipt cost
48-22-8556,1498.0000,1498.0000,use last receipt cost
08213118,1497.3000,1497.3000,use last receipt cost
SOP16743-005,1491.0000,1491.0000,use last receipt cost
6480-20,1483.5000,1699.0000,use last receipt cost
2672-21,1483.0000,1899.9900,use last receipt cost
RMT-1250-2P,1478.8800,.0000,NO LAST COST - manual
16525024,1472.8900,1472.8900,use last receipt cost
SOC46765-008,1463.0000,1463.0000,use last receipt cost
SOC73187-000,1460.3900,1460.3900,use last receipt cost
RMT-1250-2,1454.7700,.0000,NO LAST COST - manual
MNC02229-000,1451.9800,1451.9800,use last receipt cost
17105875,1451.4200,1451.4200,use last receipt cost
17105883,1451.4200,1451.4200,use last receipt cost
2678-20,1450.0000,1849.9900,use last receipt cost
2977-20,1450.0000,1849.9900,use last receipt cost
08213191,1449.0000,1449.0000,use last receipt cost
16520470,1440.5500,1440.5500,use last receipt cost
SOC64316-000,1440.2300,1440.2300,use last receipt cost
08210494,1437.7300,1437.7300,use last receipt cost
SOC05527-000,1436.4300,1436.4300,use last receipt cost
F48X36DWREDWYE,1431.4300,10000459.0000,use last receipt cost
48X36DWREDWYEBE,1431.4300,10000525.0000,use last receipt cost
F48X42DWREDTEE,1429.6900,10000351.0000,use last receipt cost
17122060,1429.6800,1429.6800,use last receipt cost
SOC76464-000,1426.6000,1426.6000,use last receipt cost
2676-22,1421.5000,1799.9900,use last receipt cost
SOC77168-000,1418.9500,1418.9500,use last receipt cost
MN042707-000,1418.6200,2814.4300,use last receipt cost
SOC47416-001,1411.4400,1411.4400,use last receipt cost
SOP33514-001,1411.4400,1411.4400,use last receipt cost
SOC59750-000,1410.0000,1410.0000,use last receipt cost
SOC59750-001,1410.0000,1410.0000,use last receipt cost
SOC59751-000,1410.0000,1410.0000,use last receipt cost
SOC59751-001,1410.0000,1410.0000,use last receipt cost
4274-21,1410.0000,1699.0000,use last receipt cost
RMT-1250-1P,1408.1200,1407.1400,use last receipt cost
17123001,1407.4100,1407.4100,use last receipt cost
17122961,1407.4100,1407.4100,use last receipt cost
SOC84697-000,1403.9700,1403.9700,use last receipt cost
12812442,1402.1100,1402.1100,use last receipt cost
SF95080,1400.0000,1400.0000,use last receipt cost
2624,1400.0000,1200.0000,use last receipt cost
F48DWWYE,1400.0000,10000538.0000,use last receipt cost
17120197,1399.0200,1332.2700,use last receipt cost
SOC82570-006,1399.0100,1399.0100,use last receipt cost
F42X36DWREDTEE,1393.9100,10000340.0000,use last receipt cost
10200871,1387.8300,1387.8300,use last receipt cost
SOC37685-000,1385.3400,1385.3400,use last receipt cost
RMT-1250-1,1383.6200,.0000,NO LAST COST - manual
16520918,1382.9300,1382.9300,use last receipt cost
10202075,1380.7200,1380.7200,use last receipt cost
42X30DWREDWYEBE,1366.2400,10000514.0000,use last receipt cost
F42X30DWREDWYE,1366.2400,10000448.0000,use last receipt cost
10203115,1360.1600,1360.1600,use last receipt cost
SOC87131-000,1356.7300,1356.7300,use last receipt cost
10200806,1352.4000,1352.4000,use last receipt cost
SOC46719-001,1350.7000,1350.7000,use last receipt cost
SOP32522-001,1350.7000,1350.7000,use last receipt cost
25851304,1347.8700,.0000,NO LAST COST - manual
SOC82678-006,1331.3166,1331.3167,use last receipt cost
SOC82678-007,1331.3166,1331.3167,use last receipt cost
SOC82678-004,1331.3133,1331.3133,use last receipt cost
SOC82678-002,1331.3100,1331.3100,use last receipt cost
SOP27291-000,1331.0000,1304.9000,use last receipt cost
SOP09516-001,1330.4200,1330.4200,use last receipt cost
2128P1,1325.0000,660.0000,use last receipt cost
2971-20,1324.0000,1589.0000,use last receipt cost
34WSBUCK,1318.2000,1318.2000,use last receipt cost
SOP16743-004,1315.0000,1315.0000,use last receipt cost
1412C,1310.0000,.0000,NO LAST COST - manual
148C,1310.0000,.0000,NO LAST COST - manual
1410C,1310.0000,.0000,NO LAST COST - manual
1418C,1310.0000,.0000,NO LAST COST - manual
1420C,1310.0000,.0000,NO LAST COST - manual
F48X36DWREDTEE,1301.3000,10000350.0000,use last receipt cost
5412P,1300.0000,5.7800,use last receipt cost
SOP46260-000,1297.4300,1271.9900,use last receipt cost
17123738,1296.8600,1296.8600,use last receipt cost
DW079LRK,1290.6100,1290.6100,use last receipt cost
DW079LRTR,1289.6800,1289.6800,use last receipt cost
DCE155D1,1289.5100,1289.5100,use last receipt cost
58CD,1283.6635,1285.0000,use last receipt cost
D36000S,1279.2300,1279.2300,use last receipt cost
17122029,1278.0700,1278.0700,use last receipt cost
17120080,1276.6800,1276.6800,use last receipt cost
SOC82678-000,1275.4700,1275.4700,use last receipt cost
58T1,1275.0000,1275.0000,use last receipt cost
MNC57090-000,1271.4000,1271.4000,use last receipt cost
16520355,1270.0800,1270.0800,use last receipt cost
SO329065-003,1267.7600,1267.7600,use last receipt cost
16520363,1266.0600,1266.0600,use last receipt cost
F48X30DWREDWYE,1261.6600,10000458.0000,use last receipt cost
48X30DWREDWYEBE,1261.6600,10000524.0000,use last receipt cost
RMT-1060-1,1256.1000,1254.6900,use last receipt cost
SOC83192-001,1253.2000,1253.2000,use last receipt cost
6618T,1250.0000,1250.0000,use last receipt cost
49-12-KITA,1248.0000,1299.9900,use last receipt cost
49-12-KITC,1248.0000,1299.9900,use last receipt cost
DW079LRT,1247.9200,1247.9200,use last receipt cost
2677-23,1247.0000,1599.9900,use last receipt cost
2416SB-PS,1246.1200,538.6792,use last receipt cost
3000,1244.0000,1499.0000,use last receipt cost
F42X30DWREDTEE,1242.0400,10000339.0000,use last receipt cost
16524613,1240.9300,1240.9300,use last receipt cost
RMT-1060-2,1231.7000,.0000,NO LAST COST - manual
2868-22HD,1231.0000,1399.0000,use last receipt cost
2661-20,1231.0000,1399.0000,use last receipt cost
2869-22HD,1231.0000,1399.0000,use last receipt cost
D36000,1226.5100,1226.5100,use last receipt cost
SOC85074-001,1225.5475,1225.5475,use last receipt cost
SOC73187-001,1222.5000,1222.5000,use last receipt cost
10200541,1219.9600,1219.9600,use last receipt cost
2620T1,1211.0000,850.0000,use last receipt cost
2618T1,1211.0000,613.7500,use last receipt cost
2418T1,1211.0000,900.0000,use last receipt cost
2420T1,1211.0000,1000.0000,use last receipt cost
SOC93587-001,1210.2900,1210.2900,use last receipt cost
42X24DWREDWYEBE,1208.5300,10000513.0000,use last receipt cost
F42X24DWREDWYE,1208.5300,10000447.0000,use last receipt cost
10201184,1208.3500,1208.3500,use last receipt cost
58CDFT,1205.0655,1199.3750,use last receipt cost
13400502,1202.7300,1202.7300,use last receipt cost
SOP34871-000,1201.6750,1190.6500,use last receipt cost
5418T,1200.0000,1873.6000,use last receipt cost
2820T2,1200.0000,28.3346,use last receipt cost
21218T2,1200.0000,1000.0000,use last receipt cost
2818T2,1200.0000,800.0000,use last receipt cost
5420T,1200.0000,1873.6000,use last receipt cost
48-22-8546,1198.0000,1198.0000,use last receipt cost
SOC85074-005,1197.9900,1197.9900,use last receipt cost
F420WCROSST,1194.4000,10000097.0000,use last receipt cost
17104910,1194.1600,1194.1600,use last receipt cost
17104936,1194.1600,1194.1600,use last receipt cost
1816P3,1192.8180,1075.0000,use last receipt cost
16525008,1190.2200,1190.2200,use last receipt cost
2410MSR,1190.1360,827.7804,use last receipt cost
10201408,1185.7800,1185.7800,use last receipt cost
2676-20,1184.0000,1499.9900,use last receipt cost
6620T,1182.8704,1326.6667,use last receipt cost
RMT-1060-2P,1178.1967,1177.2300,use last receipt cost
17120064,1176.5200,1176.5200,use last receipt cost
SOC47416-000,1176.2000,1176.2000,use last receipt cost
SOP33514-000,1176.2000,1176.2000,use last receipt cost
17122938,1173.6400,1173.6400,use last receipt cost
17122946,1173.6400,1173.6400,use last receipt cost
RMT-1000E-2P,1167.1900,.0000,NO LAST COST - manual
12740759,1166.5300,1110.9700,use last receipt cost
10203883,1163.7800,1163.7800,use last receipt cost
SOC83552-002,1156.9900,1156.9900,use last receipt cost
RMT-1060-1P,1156.0200,1184.6700,use last receipt cost
29610110,1153.2700,1153.2700,use last receipt cost
17108085,1151.9600,1151.9600,use last receipt cost
17108093,1151.9600,1151.9600,use last receipt cost
248PC94,1150.0000,428.3019,use last receipt cost
MNW02052-000,1150.0000,1150.0000,use last receipt cost
10201069,1148.6600,1148.6600,use last receipt cost
DCH775X2,1147.7300,1147.7300,use last receipt cost
F48X30DWREDTEE,1146.9600,10000349.0000,use last receipt cost
17120270,1143.8900,1143.8900,use last receipt cost
RMT-1000E-2,1143.0700,.0000,NO LAST COST - manual
SOP13419-000,1142.6200,1142.6200,use last receipt cost
SOC85569-000,1138.8000,1138.8000,use last receipt cost
MXFC-2XC,1133.0000,1399.0000,use last receipt cost
SOP02799-008,1133.0000,1166.0000,use last receipt cost
MNC15850-001,1132.2400,1132.2400,use last receipt cost
SOC85223-000,1132.0000,1132.0000,use last receipt cost
SOP33574-000,1130.4600,1115.4600,use last receipt cost
SOC05631-000,1129.8300,1129.8300,use last receipt cost
12740379,1125.0000,1125.0000,use last receipt cost
DWB48X20,1125.0000,1125.0000,use last receipt cost
SOC02329-000,1122.5200,1122.5200,use last receipt cost
16112377,1121.4700,1121.4700,use last receipt cost
F42DWWYE,1121.4000,10000537.0000,use last receipt cost
WMPS700,1120.0000,1120.0000,use last receipt cost
SOC47630-000,1115.4600,1115.4600,use last receipt cost
12812111,1114.7200,1114.7200,use last receipt cost
10200863,1112.9100,1112.9100,use last receipt cost
08210791,1110.4000,1110.4000,use last receipt cost
10200616,1109.4300,1109.4300,use last receipt cost
SOC08762-008,1109.3100,1109.3100,use last receipt cost
SOC10298-000,1109.3100,1087.5600,use last receipt cost
