Account|DocYYMM|SalesTax|Taxable|NonTax|Exempt
1000173|2302|7.1100|118.6200|.0000|.0000
1000170|2108|1.2000|20.0000|.0000|.0000
1000165|2108|5.4500|90.6800|.0000|.0000
1000046|2405|155.8500|2597.3700|.0000|.0000
1000082|2309|12.7000|211.5800|.0000|.0000
1000098|2407|37.9200|632.0700|.0000|.0000
1000199|2304|.0000|2782.6600|.0000|2782.6600
1000054|2511|3.1300|52.1900|.0000|.0000
1000035|2307|16.1200|268.7700|.0000|.0000
1000194|2310|292.0900|4868.1600|.0000|.0000
1000155|2412|88.5200|1475.5100|.0000|.0000
1000045|2309|2.9700|49.5000|.0000|.0000
HILBERT|2408|10.5400|175.7000|.0000|.0000
100041|2306|646.8600|10781.0000|.0000|.0000
DUSTINBYRD|2107|-3678.7200|13.6000|.0000|.0000
1000186|2409|1.3500|22.5100|.0000|.0000
1000173|2411|39.5200|658.5100|.0000|.0000
1000201|2111|8.3800|139.5400|.0000|.0000
1000124|2310|130.3500|2172.4700|.0000|.0000
1000031|2404|8.1500|135.5900|.0000|.0000
1000251|2504|.0000|595.8800|.0000|595.8800
1000068|2602|.0000|22.4200|.0000|22.4200
1000012|2310|7.8800|131.5400|.0000|.0000
1000227|2405|140.1400|2335.6100|.0000|.0000
1000161|2110|548.5800|9142.8500|.0000|.0000
1000108|2301|4.1200|68.5100|.0000|.0000
1000196|2401|440.0600|7334.3700|.0000|.0000
1000119|2312|1375.3100|22921.5200|4650.0000|.0000
1000078|2401|572.3300|9538.7000|.0000|.0000
JEFFYATES|2009|149.3200|2488.6700|.0000|.0000
1000099|2306|38.5400|642.4500|.0000|.0000
1000108|2211|30.8000|513.2500|.0000|.0000
1000222|2312|1.9000|31.6300|.0000|.0000
1000232|2506|21.1700|353.0400|.0000|.0000
1000131|2208|19.6200|327.0000|.0000|.0000
1000083|2310|25.5000|425.2200|.0000|.0000
BRYANHORN|2102|69.1300|1151.9700|.0000|.0000
1000165|2405|7.1100|118.5200|.0000|.0000
1000107|2205|2.7100|45.1300|.0000|.0000
1000253|2408|177.5000|2958.4500|.0000|.0000
BARRHOMEST|2004|1067.4200|17790.2700|.0000|.0000
1000267|2504|48.2900|804.4800|.0000|.0000
1000207|2402|23.6200|393.7100|.0000|.0000
1000086|2112|16.5300|275.5400|.0000|.0000
10000111|2207|248.1700|4136.1800|.0000|.0000
1000082|2306|24.4400|407.4600|.0000|.0000
1000071|2410|538.0800|8967.9300|.0000|.0000
1000221|2506|.4700|7.7600|.0000|.0000
1000104|2304|114.3900|1905.9100|.0000|.0000
TYLERGREEN|2209|879.9900|14666.5400|.0000|.0000
1000012|2301|.6800|11.3100|.0000|.0000
10000201|2409|890.4300|14840.4900|.0000|.0000
1000199|2408|.0000|324.9800|.0000|324.9800
1000119|2411|369.0000|6149.9300|.0000|.0000
JIMMYJENK|2104|1336.9100|22281.8800|.0000|.0000
1000086|2309|68.1500|1135.6300|.0000|.0000
1000124|2410|6.8700|114.7200|.0000|.0000
1000005|2605|.0000|105.9200|.0000|105.9200
1000155|2311|87.7600|1462.9400|.0000|.0000
1000109|2603|17.6200|293.7800|.0000|.0000
1000255|2504|1.2000|20.0000|.0000|.0000
10000201|2403|11.7000|194.9700|.0000|.0000
1000169|2502|7.4300|123.7800|.0000|.0000
1000238|2411|1.4100|23.4600|.0000|.0000
1000057|2601|1.1400|18.7000|.0000|.0000
1000164|2311|.0000|186.2600|.0000|186.2600
1000171|2206|1406.4100|23440.0300|.0000|.0000
1000136|2208|24990.7000|416511.6400|.0000|.0000
1000119|2302|1760.7100|29345.1400|12000.0000|.0000
1000177|2405|3.6200|60.3700|.0000|.0000
IS-CASH|2410|74.6500|1244.1300|.0000|.0000
1000171|2203|1098.7400|18312.1900|.0000|.0000
1000057|2405|.2200|3.7600|.0000|.0000
1000086|2205|156.8800|2614.3600|.0000|.0000
1000114|2508|.0000|10.4000|.0000|10.4000
1000160|2212|154.7800|2579.6800|.0000|.0000
1000005|2412|.0000|439.4900|.0000|439.4900
1000170|2503|5.7400|95.5200|.0000|.0000
1000286|2008|644.2000|10736.6500|.0000|.0000
1000102|2408|.0000|12206.6500|13376.2500|12206.6500
1000097|2312|119994.0000|2000000.0000|.0000|.0000
1000033|2603|33.0100|550.2000|.0000|.0000
1000191|2406|561.4400|9357.3500|.0000|.0000
|2403|.0000|.0000|.0000|.0000
1000109|2507|76.2000|1270.0000|.0000|.0000
1000083|2410|15.5700|259.6400|.0000|.0000
1000239|2503|3.1800|53.0700|.5300|.0000
1000158|2502|12.3300|205.6300|.0000|.0000
1000122|2204|115.5200|1925.2000|.0000|.0000
1000188|2112|246.4000|4106.5600|.0000|.0000
1000165|2111|.1900|3.2100|.0000|.0000
1000178|2309|.3800|6.3600|.0000|.0000
1000042|2310|1389.1200|23151.9700|200.0000|.0000
1000005|2510|.0000|329.3500|.0000|329.3500
1000129|2503|75.3300|1255.5300|.0000|.0000
1000105|2406|20.4200|340.3600|.0000|.0000
IS-CASH|2301|140.4500|2340.8700|.0000|.0000
1000169|2405|1.0900|18.1200|.0000|.0000
GROUND|2203|.0000|7937.2600|.0000|7937.2600
1000122|2011|709.0600|11817.4800|.0000|.0000
1000118|2411|15.7000|261.8200|.0000|.0000
1000178|2207|47.2900|788.2000|.0000|.0000
1000102|2202|.0000|7130.8800|.0000|7130.8800
1000014|2305|.1400|2.3100|.0000|.0000
1000159|2501|2.2800|38.0900|.0000|.0000
1000098|2110|4.8700|81.2300|.0000|.0000
10000201|2408|2247.5200|37458.8600|.0000|.0000
TIMLOHDEN|2111|17.3500|289.1400|.0000|.0000
1000109|2604|14.4700|241.0700|.0000|.0000
1000255|2507|.2500|4.2000|.0000|.0000
ADCO|2107|3.6000|59.9700|.0000|.0000
1000086|2306|.6000|9.9600|.0000|.0000
1000114|2605|.0000|4.0800|.0000|4.0800
CADMETALS|2106|.0000|1840.0000|.0000|1840.0000
1000176|2510|.0000|.0000|.0000|.0000
1000122|2503|10.6400|177.4000|.0000|.0000
1000218|2412|.0300|.5500|.0000|.0000
1000026|2502|.9900|16.5500|.0000|.0000
1000199|2202|.0000|133.0400|.0000|133.0400
1000118|2302|6.2800|104.5200|.0000|.0000
1000178|2508|2.6100|43.5500|.0000|.0000
1000104|2208|293.1500|4885.7000|.0000|.0000
1000165|2410|4.2800|71.4300|.0000|.0000
JEFFYATES|2109|153.8100|2563.4900|.0000|.0000
1000167|2209|306.0600|5101.0800|.0000|.0000
1000191|2308|25.7800|429.6000|.0000|.0000
1000005|2407|.0000|589.7300|.0000|589.7300
